(Parent) ASIN,(Child) ASIN,Title,Page Views - Total,Page Views - Total - B2B,Page Views Percentage - Total,Page Views Percentage - Total - B2B,Featured Offer (Buy Box) Percentage,Featured Offer (Buy Box) Percentage - B2B,Units Ordered,Units Ordered - B2B,Ordered Product Sales,Ordered Product Sales - B2B,Country
B000ALBL8E,B000ALBL8E,LUSTRE'S SCURL 360 STYLIN 'MULTI LOOK BLOW OUT KIT,1,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,Japan
B000ALBLQG,B000ALBLQG,Clinique Sparkle Skin Body Ex Foli Awarding Cream 250ml/8.5oz,1,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,Japan
B078JD4WSQ,B000ALIN8U,HALO SLEEPSACK 100% Cotton Wearable Blanket Baby Blanket XL Size Cream,3,0.0,0.0001,0.0,0.0,0.0,0,0.0,0.0,0.0,Japan
B01I6A265M,B000ANNOL4,WWE Hulk Hogan Hulkamania Men's Red T-shirt US Size: X-LARGE Color: Red,1,0.0,0.0,0.0,1.0,0.0,0,0.0,0.0,0.0,Japan
B07484PC27,B000ASGBNM,"ONEIDA MOONCREST 45-Piece Flatware Set, Service for 8 by Oneida [parallel import]",1,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,Japan
B072PW8ZRW,B000AZV8W4,Reston Lloyd 88201 Lemon -5 QT colander,2,0.0,0.0001,0.0,0.0,0.0,0,0.0,0.0,0.0,Japan
B000B6I54G,B000B6I54G,"Absorbine Veterinary Liniment Gel, 12-OUNCE BY ABSORBINE",4,0.0,0.0001,0.0,0.0,0.0,0,0.0,0.0,0.0,Japan
B000B7I8FQ,B000B7I8FQ,SUPER DRI AID HEARING AID DEHUMIDIFER BY HAL-HEN [parallel import],3,0.0,0.0001,0.0,0.3333,0.0,0,0.0,0.0,0.0,Japan
B000BESLQK,B000BESLQK,Enajaizer AAA Nickel Hydrogen Rechargeable Battery 4 Pack -NH12BP4,1,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,Japan
B078JNHH56,B000BGPV8Y,"J.A. HENCKELS INTERNATIONAL Classic Hole Aki Sangoku Knife 5 5 ""Black 31170-141",3,0.0,0.0001,0.0,0.0,0.0,0,0.0,0.0,0.0,Japan
B071ZB8NPN,B000BHQEHU,Original magnet -type frame clear 2.5 x 3.5 CANORG23,3,0.0,0.0001,0.0,1.0,0.0,0,0.0,0.0,0.0,Japan
B01JGTPGK4,B000BK82EK,Propper Men's BDU Tactical Trouser Pants Medium Regular Black,1,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,Japan
B071SFPYNC,B000BPFWC0,"SLIDE-CO 121996 Sliding screen heavy deafly arckstrike, Daikast, (Pack 2)",1,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,Japan
B072M14BVJ,B000BQPYJ0,DAP 12346 DRYDEX Spackle Indoor outdoor paste 5.5 oz Quart multi -color 12330 1,2,0.0,0.0001,0.0,0.0,0.0,0,0.0,0.0,0.0,Japan
B000BROV02,B000BROV02,Badger Airbush Paint Mixer BA121 [parallel import],8,1.0,0.0002,0.0018,0.0,0.0,0,0.0,0.0,0.0,Japan
B000BT7HWY,B000BT7HWY,CYCLEOPS FLUID 2 Indoor Bicycle Trainer,12,0.0,0.0004,0.0,0.1667,0.0,0,0.0,0.0,0.0,Japan
B081JXGCD1,B000C9WL2Y,Wix 51060 Oil filter,9,0.0,0.0003,0.0,0.0,0.0,0,0.0,0.0,0.0,Japan
B000CBVAQ0,B000CBVAQ0,Hair Building Fiber - # Dark Brown [Parallel Import],34,1.0,0.001,0.0018,0.0,0.0,0,0.0,0.0,0.0,Japan
B000CEPAQI,B000CEPAQI,Blackstone 5022 4 Peace Professional Gridor Crepe Kit Silver,3,0.0,0.0001,0.0,0.0,0.0,0,0.0,0.0,0.0,Japan
B000CEPASG,B000CEPASG,BS Smash Yuura Burger Blackstone Hamburger Tool Kit,1,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,Japan
B000CKP1PW,B000CKP1PW,Spicer 5-134X U-joint kit,2,0.0,0.0001,0.0,0.0,0.0,0,0.0,0.0,0.0,Japan
B000CMJ1RY,B000CMJ1RY,Grant 3196 Installation kit,19,1.0,0.0006,0.0018,0.0,0.0,0,0.0,0.0,0.0,Japan
B072PPN4PP,B000COH2JQ,Kingston brass KB972B 2 to two handle 16. With a faucet retail pop -up in a wide range of washrooms,19,0.0,0.0006,0.0,0.0556,0.0,0,0.0,0.0,0.0,Japan
B071HYDRJB,B000COJ2AS,KINGSTON BRASS KB1971AX HERITAGE Wide Spreaded Washbuts Glossy chromium 8 -inch Adjustable Center,1,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,Japan
B000CON1KK,B000CON1KK,MOROSO 38550 oil pumbolt,1,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,Japan
B000CON23G,B000CON23G,"Radiator Hose Filler 1-1/2 Replacement Auto Part, Easy to Instal",3,0.0,0.0001,0.0,0.0,0.0,0,0.0,0.0,0.0,Japan
B000CON2HC,B000CON2HC,MOROSO 65380 FUEL LINE FITTING,1,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,Japan
B000CON39Y,B000CON39Y,"MOROSO 68820 Valve cover, stud kit casting aluminum valve cover",1,0.0,0.0,0.0,1.0,0.0,0,0.0,0.0,0.0,Japan
B000E48H9I,B000E48H9I,"Collinite 925 Fiberglass Boat Wax, 473 ML by Collinite",1,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,Japan
B000EM79NK,B000EM79NK,CHI Infrastructure Moisture Cerapy Shampoo 950ml / 32oz,3,0.0,0.0001,0.0,0.0,0.0,0,0.0,0.0,0.0,Japan
B000EQFTD8,B000EQFTD8,Sylvania H13 Silverstar high -performance halogen headlight valve (2 pieces),2,0.0,0.0001,0.0,0.0,0.0,0,0.0,0.0,0.0,Japan
